,label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
1875,0,0.06315789473684211,0.0003813882532418001,0.0004729809625162587,0.24137931034482757,0.0006964042099456766,0.0068995256576110395,0.00361881785283474,0.05850091407678245,0.006031577080007096,0.5,0.05405405405405406,0.0,0.02727272727272727,0,51,986,754,1,6,371,2,1,870,666,510,1,2,222,927,8,368,123,1,1141,5,1,209,19,356
312,0,0.0,0.0016526824307144673,0.00011824524062906468,0.011494252873563218,0.007344257127800516,0.07438551099611902,0.00542822677925211,0.025594149908592323,0.06421855596948732,0.0,0.08108108108108109,0.0,0.003896103896103896,33,74,1070,819,1,5,47,17,1,897,637,1078,392,9,398,621,3,387,123,1,1,2,1,162,19,356
596,0,0.0,0.08288838037121789,0.0,0.0,0.0018971350896115602,0.0,0.0,0.02010968921389397,0.0037253858435337944,0.0,0.0,0.0,0.0,48,74,1070,819,1,3,191,2,1,281,579,1078,21,9,398,621,8,387,123,1,1,2,3,162,19,356
259,0,0.30526315789473685,0.0002542588354945334,0.0,0.08045977011494253,9.850130267972794e-07,0.0,0.4975874547647768,0.027422303473491772,0.21429838566613446,0.5,0.6216216216216217,0.0,0.0,0,92,672,620,1,3,1081,19,1,483,588,1063,27,2,505,731,8,241,22,0,701,2,11,523,9,335
843,0,0.0,0.0006356470887363335,0.00023649048125812936,0.022988505747126436,0.002301975443625242,0.029107373868046574,0.0012062726176115801,0.08957952468007313,0.01844952989178641,0.0,0.02702702702702703,0.0,0.0025974025974025974,33,10,766,1002,1,3,150,2,1,79,274,843,330,2,218,866,0,222,123,1,19,2,0,573,19,356
290,0,0.0,0.004703788456648868,0.0,0.10344827586206896,0.03994818831479047,0.0,0.0,0.07495429616087751,0.0017739932588256165,0.0,0.0,0.0,0.011688311688311689,33,215,907,872,1,6,10,2,1,194,867,1084,114,13,536,77,8,89,123,1,584,2,0,531,19,356
903,1,0.0,0.011695906432748537,0.0004729809625162587,0.034482758620689655,0.0021798338283023793,0.0,0.0,0.03290676416819013,0.0031931878658861094,0.0,0.0,0.0,0.003896103896103896,33,12,146,78,1,2,1105,2,1,534,631,411,487,13,273,894,6,188,33,0,862,2,0,66,27,380
114,1,0.0,0.0011441647597254002,0.0018919238500650349,0.3218390804597701,0.018763513147461375,0.4592496765847348,0.0030156815440289505,0.0603290676416819,0.12524392407308851,0.0,0.08108108108108109,0.0,0.04285714285714286,26,10,766,1002,1,3,60,15,1,698,269,843,420,2,218,866,8,222,123,1,19,2,2,573,19,356
562,0,0.0,0.002415458937198067,0.0009459619250325174,0.3103448275862069,0.02971390296636673,0.0,0.0,0.04753199268738574,0.001951392584708178,0.0,0.0,0.0,0.03506493506493506,0,215,907,872,11,0,1023,17,1,353,269,1084,420,2,479,77,0,89,123,1,584,2,2,531,19,356
513,0,0.0,0.0002542588354945334,0.0046115643845335225,0.1724137931034483,0.004336027343961624,0.017033203967227253,0.022919179734620022,0.027422303473491772,0.08958665957069363,0.0,0.13513513513513514,0.0,0.02077922077922078,33,91,653,858,1,3,166,1,1,886,703,1094,679,13,336,728,8,404,164,3,325,2,1,158,17,45
1014,0,0.0,0.0006356470887363335,0.0,0.022988505747126436,0.00932314829863625,0.01164294954721863,0.00180940892641737,0.007312614259597806,0.007628171012950151,0.0,0.05405405405405406,0.0,0.0025974025974025974,26,220,419,152,5,6,951,34,1,150,201,163,345,3,62,564,0,350,123,1,440,2,0,431,19,356
727,0,0.0,0.0,0.0004729809625162587,0.011494252873563218,0.00019798761838625317,0.0,0.0,0.0018281535648994515,0.00017739932588256165,0.0,0.0,0.0,0.0012987012987012987,0,53,1122,721,1,6,72,17,1,194,210,196,234,2,771,74,1,244,22,0,617,0,0,232,1,323
1515,0,0.010526315789473684,0.03864734299516908,0.00023649048125812936,0.022988505747126436,0.0007850553823574317,0.00129366106080207,0.011459589867310011,0.06398537477148081,0.03831825439063331,0.25,0.1891891891891892,0.0,0.0025974025974025974,26,50,398,327,1,6,795,17,1,497,482,988,106,2,519,445,8,16,22,0,1090,5,0,457,3,90
1253,0,0.042105263157894736,0.007882023900330536,0.00011824524062906468,0.034482758620689655,9.357623754574154e-05,0.000646830530401035,0.00723763570566948,0.009140767824497258,0.0023061912364733014,0.25,0.08108108108108109,0.0,0.003896103896103896,48,35,870,1015,9,6,913,2,1,308,675,1111,739,3,380,1033,8,275,123,1,572,2,2,547,19,356
690,0,0.0,0.0003813882532418001,0.0005912262031453234,0.011494252873563218,0.23159330782149595,0.0,0.0,0.0,0.00017739932588256165,0.0,0.0,0.0,0.0012987012987012987,26,51,839,677,6,3,1039,17,0,194,860,764,556,2,552,743,1,116,123,1,784,2,8,479,19,356
1773,0,0.18947368421052632,0.0003813882532418001,0.000354735721887194,0.08045977011494253,0.0007643701087946889,0.001509271237602415,0.01085645355850422,0.012797074954296161,0.0012417952811779316,0.25,0.02702702702702703,0.0,0.00909090909090909,43,77,496,284,11,3,522,2,1,849,742,906,320,2,723,1020,8,263,22,2,1119,3,0,85,0,540
670,0,0.0,0.007882023900330536,0.00011824524062906468,0.011494252873563218,0.0001428268888856055,0.01595515308322553,0.0024125452352231603,0.0018281535648994515,0.007628171012950151,0.0,0.08108108108108109,0.0,0.0012987012987012987,0,102,450,155,1,6,282,2,1,113,465,211,216,13,313,967,8,85,123,1,181,2,0,482,19,356
845,0,0.042105263157894736,0.027332824815662342,0.0005912262031453234,0.034482758620689655,1.970026053594559e-06,0.0,0.00542822677925211,0.04570383912248629,0.008160368990597836,0.25,0.16216216216216217,0.0,0.0,0,145,906,837,1,6,534,2,1,161,549,236,696,3,532,843,8,216,22,0,175,5,3,162,27,385
980,0,0.0,0.0007627765064836002,0.000354735721887194,0.034482758620689655,0.0,0.0,0.0,0.005484460694698354,0.0005321979776476849,0.0,0.0,0.0,0.003896103896103896,0,190,839,677,15,3,239,34,0,194,328,764,574,13,444,743,2,256,123,1,784,2,8,479,19,356
385,0,0.0,0.0002542588354945334,0.16093177249615703,0.0,9.850130267972794e-06,0.0,0.0,0.056672760511883,0.004967181124711726,0.0,0.0,0.0,0.0,52,52,353,701,1,3,976,2,1,194,226,872,317,3,737,517,5,181,22,0,26,2,8,49,0,323
996,0,0.0,0.020594965675057208,0.0,0.06896551724137931,0.024972050255364628,0.03341957740405347,0.030759951749095293,0.010968921389396709,0.04133404293063686,0.0,0.08108108108108109,0.0,0.007792207792207792,33,244,964,446,11,1,823,17,1,316,862,473,542,2,508,1016,8,426,123,1,570,2,0,206,19,356
267,0,0.10526315789473684,0.023391812865497075,0.0041385834220172635,0.3793103448275862,0.0,0.0,0.00904704463208685,0.06764168190127971,0.008160368990597836,0.25,0.10810810810810811,0.0,0.0,0,66,863,176,9,5,957,5,1,67,491,489,183,13,730,817,8,88,123,1,575,3,1,547,19,356
635,0,0.0,0.0005085176709890668,0.000709471443774388,0.22988505747126436,0.0029176085853735417,0.04139715394566624,0.00542822677925211,0.04021937842778794,0.024481106971793506,0.0,0.02702702702702703,0.0,0.032467532467532464,0,58,20,819,7,3,902,2,1,121,468,679,294,2,808,244,0,249,123,1,1094,2,0,162,19,356
1106,0,0.0,0.0003813882532418001,0.0,0.011494252873563218,3.940052107189118e-06,0.0,0.0,0.0018281535648994515,0.005321979776476849,0.0,0.0,0.0,0.0012987012987012987,56,96,1070,819,11,6,720,2,1,260,465,1078,216,2,417,621,1,527,123,1,1,2,0,162,19,356
495,0,0.0,0.0035596236969234673,0.0,0.0,0.0031323414252153485,0.029538594221647264,0.008443908323281062,0.027422303473491772,0.09863402519070427,0.0,0.08108108108108109,0.0,0.0,43,220,276,84,1,6,1017,5,1,444,272,1051,413,2,113,95,8,410,123,1,245,2,0,481,19,356
881,0,0.0,0.0022883295194508005,0.00011824524062906468,0.011494252873563218,0.045064345975975535,0.10284605433376456,0.0,0.025594149908592323,0.012772751463544438,0.0,0.0,0.0,0.0012987012987012987,0,161,709,523,1,3,38,17,0,386,732,558,349,13,211,335,8,385,123,1,806,2,0,531,19,356
1594,0,0.0,0.0003813882532418001,0.000709471443774388,0.022988505747126436,0.0017602182788867384,0.0017248814144027599,0.0006031363088057901,0.003656307129798903,0.0007095973035302466,0.0,0.02702702702702703,0.0,0.0025974025974025974,26,12,375,221,1,4,729,1,1,194,197,1179,717,2,185,220,5,188,20,3,659,2,0,340,27,371
424,0,0.0,0.0002542588354945334,0.001418942887548776,0.06896551724137931,0.003053540383071566,0.05325571366968521,0.01447527141133896,0.021937842778793418,0.043640234167110166,0.0,0.02702702702702703,0.0,0.012987012987012988,0,32,758,428,1,3,349,2,1,48,707,59,412,2,126,1025,8,373,123,1,696,2,0,20,19,356
482,0,0.0,0.13564708873633358,0.0005912262031453234,0.022988505747126436,0.0,0.0,0.0,0.009140767824497258,0.0008869966294128083,0.0,0.0,0.0,0.006493506493506494,48,51,859,768,7,5,955,1,0,194,572,904,493,2,522,538,2,81,123,1,152,2,8,524,19,356
1884,0,0.0,0.0001271294177472667,0.0037838477001300697,0.034482758620689655,0.0028437326083637455,0.027598102630444158,0.0006031363088057901,0.012797074954296161,0.0015965939329430547,0.0,0.02702702702702703,0.0,0.003896103896103896,33,31,1101,771,1,4,838,17,1,380,621,874,745,2,39,581,4,124,22,2,474,2,10,686,0,458
1187,0,0.010526315789473684,0.0020340706839562673,0.006503488234598558,0.022988505747126436,4.6295612259472135e-05,0.000646830530401035,0.0006031363088057901,0.005484460694698354,0.0005321979776476849,0.25,0.02702702702702703,0.0,0.003896103896103896,43,77,968,718,1,3,367,17,1,21,530,831,602,13,443,1012,7,263,73,3,238,2,1,705,0,13
41,1,0.9263157894736842,0.04080854309687262,0.0,0.04597701149425287,4.925065133986397e-06,0.0008624407072013799,0.053679131483715316,0.07312614259597806,0.015611140677665425,0.75,0.10810810810810811,0.12244897959183673,0.005194805194805195,0,10,277,1029,1,5,1099,2,1,447,308,111,174,13,620,340,6,386,123,1,101,2,0,636,19,356
1244,0,0.0,0.0003813882532418001,0.0,0.05747126436781609,0.006921686539304483,0.059508408796895215,0.0012062726176115801,0.043875685557586835,0.019691325172964343,0.0,0.02702702702702703,0.0,0.007792207792207792,0,19,1070,819,1,3,11,2,1,58,922,1078,712,3,461,621,0,417,123,1,1,2,0,162,19,356
1600,0,0.0,0.0003813882532418001,0.0,0.0,0.027350856715080057,0.0,0.0,0.007312614259597806,0.0,0.0,0.0,0.0,0.0,0,51,362,590,1,3,443,5,1,338,37,907,813,13,217,184,7,361,123,1,199,2,4,415,19,356
457,0,0.0,0.004068141367912535,0.0,0.0,0.04064557753776294,0.17421302285467874,0.0,0.009140767824497258,0.014546744722370055,0.0,0.0,0.0,0.0,33,125,1070,819,1,6,395,2,1,849,822,1078,160,13,584,621,7,175,123,1,1,2,0,162,19,356
1878,0,0.09473684210526316,0.013348588863463004,0.002128414331323164,0.4942528735632184,7.781602911698507e-05,0.01164294954721863,0.00542822677925211,0.08775137111517367,0.008869966294128083,0.25,0.02702702702702703,0.0,0.06233766233766234,0,12,619,723,19,6,1042,17,1,686,265,877,424,13,367,667,8,154,101,0,163,0,1,183,27,483
784,0,0.0,0.0003813882532418001,0.0008277166844034528,0.12643678160919541,0.016344321153647257,0.08732212160413971,0.0006031363088057901,0.029250457038391225,0.04559162675181834,0.0,0.02702702702702703,0.0,0.02077922077922078,26,13,907,872,1,3,680,23,1,194,161,1084,427,13,594,77,7,106,123,1,584,2,8,531,19,356
1708,1,0.0,0.0005085176709890668,0.0005912262031453234,0.022988505747126436,0.001384928315676975,0.001078050884001725,0.006031363088057901,0.014625228519195612,0.0014191946070604932,0.0,0.05405405405405406,0.0,0.0025974025974025974,0,131,573,231,28,4,812,2,1,24,450,297,131,13,3,62,8,434,87,3,1149,2,0,376,1,420
131,0,0.021052631578947368,0.0002542588354945334,0.001064207165661582,0.05747126436781609,4.334057317908029e-05,0.001078050884001725,0.0012062726176115801,0.007312614259597806,0.0008869966294128083,0.5,0.05405405405405406,0.0,0.006493506493506494,26,60,1161,38,7,3,484,17,1,743,263,1146,693,2,746,287,0,478,22,3,231,2,0,419,7,93
445,0,0.0,0.001271294177472667,0.019037483741279414,0.09195402298850575,0.042623483695571875,0.0,0.0,0.04936014625228519,0.0,0.0,0.0,0.0,0.032467532467532464,33,74,1070,819,1,3,328,3,1,424,541,1078,71,8,650,621,1,530,123,1,1,2,10,162,19,356
39,0,0.08421052631578947,0.0002542588354945334,0.0017736786094359701,0.22988505747126436,0.00011327649808168713,0.00517464424320828,0.0048250904704463205,0.04204753199268738,0.004257583821181479,0.5,0.05405405405405406,0.0,0.025974025974025976,26,201,635,233,1,4,664,2,1,319,653,476,461,3,433,417,6,42,22,3,38,2,0,445,1,20
1844,0,0.010526315789473684,0.0008899059242308669,0.0035473572188719402,0.011494252873563218,1.970026053594559e-05,0.00021561017680034498,0.0006031363088057901,0.0018281535648994515,0.00017739932588256165,0.25,0.02702702702702703,0.0,0.0012987012987012987,33,168,1157,66,7,5,583,2,1,628,511,700,400,14,779,514,7,69,123,1,1035,2,1,432,19,356
586,1,0.0,0.0005085176709890668,0.002956131015726617,0.0,0.0029412488980166763,0.01250539025442001,0.0024125452352231603,0.014625228519195612,0.0028383892141209863,0.0,0.02702702702702703,0.0,0.007792207792207792,26,236,220,619,1,3,64,2,1,558,95,104,586,3,496,736,6,166,22,2,37,2,0,174,27,149
931,0,0.010526315789473684,0.0068649885583524015,0.015017145559891214,0.29885057471264365,0.0009328073363770236,0.030185424752048298,0.0006031363088057901,0.0712979890310786,0.006031577080007096,0.25,0.02702702702702703,0.0,0.033766233766233764,56,37,626,905,1,5,880,34,1,595,262,584,552,13,515,385,7,285,22,3,405,2,10,184,17,446
1120,0,0.0,0.0003813882532418001,0.0013006976469197116,0.011494252873563218,0.05106406032219776,0.0,0.0,0.009140767824497258,0.0007095973035302466,0.0,0.0,0.0,0.0012987012987012987,0,53,942,683,9,3,775,2,0,564,515,753,35,13,115,545,1,468,22,0,1043,5,1,450,1,159
1965,0,0.07368421052631578,0.0003813882532418001,0.002246659571952229,0.1954022988505747,5.6145742527444924e-05,0.00474342388960759,0.011459589867310011,0.03656307129798903,0.021287919105907396,0.5,0.13513513513513514,0.02040816326530612,0.023376623376623377,0,160,17,782,1,3,490,15,1,145,658,161,102,2,450,972,3,343,22,0,875,2,10,196,28,392
858,0,0.0,0.0002542588354945334,0.00011824524062906468,0.0,0.0029097284811591636,0.00474342388960759,0.0030156815440289505,0.007312614259597806,0.011353556856483945,0.0,0.05405405405405406,0.0,0.0,0,26,473,762,1,3,937,2,1,292,524,578,369,15,785,946,8,60,123,1,683,2,3,394,19,356
734,1,0.0,0.0002542588354945334,0.00023649048125812936,0.05747126436781609,0.0031628768290460642,0.01768003449762829,0.00180940892641737,0.009140767824497258,0.009579563597658328,0.0,0.02702702702702703,0.0,0.006493506493506494,0,152,420,1015,1,4,699,2,1,194,90,897,671,13,56,635,4,260,123,1,804,2,0,547,19,356
1176,0,0.0,0.0005085176709890668,0.0016554333688069056,0.10344827586206896,0.007583615293312254,0.09163432514014662,0.0006031363088057901,0.08775137111517367,0.027496895511797056,0.0,0.02702702702702703,0.0,0.05974025974025974,63,13,907,872,1,5,1027,2,1,327,188,1084,62,13,411,77,7,503,123,1,584,3,1,531,19,356
1894,0,0.0,0.0003813882532418001,0.001064207165661582,0.04597701149425287,0.00451135966273154,0.014877102199223804,0.0006031363088057901,0.009140767824497258,0.005676778428241973,0.0,0.02702702702702703,0.0,0.005194805194805195,0,126,1194,54,1,5,259,17,1,895,373,771,133,2,787,119,7,510,22,2,1019,2,1,241,27,547
335,0,0.0,0.0003813882532418001,0.0,0.09195402298850575,0.04199307535842162,0.0,0.0,0.038391224862888484,0.004257583821181479,0.0,0.0,0.0,0.01038961038961039,0,215,907,872,1,3,1104,2,1,314,298,1084,109,3,323,77,1,89,123,1,584,3,0,531,19,356
1897,0,0.0,0.0001271294177472667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,51,362,590,1,3,633,2,0,194,872,907,345,13,281,184,2,366,123,1,199,2,0,415,19,356
623,0,0.0,0.0011441647597254002,0.00011824524062906468,0.034482758620689655,0.0019296405194958704,0.015308322552824494,0.0030156815440289505,0.02010968921389397,0.006918573709419904,0.0,0.05405405405405406,0.0,0.003896103896103896,0,39,971,87,1,5,627,2,1,91,461,788,305,2,203,573,8,210,64,2,475,2,2,196,3,448
35,1,0.0,0.016399694889397406,0.00011824524062906468,0.034482758620689655,0.0016577769240998213,0.004096593359206555,0.015681544028950542,0.031078610603290677,0.08426467979421678,0.0,0.24324324324324326,0.0,0.003896103896103896,0,131,104,355,11,5,127,2,1,730,432,574,351,2,149,334,6,392,193,2,255,3,10,174,1,149
146,0,0.08421052631578947,0.003686753114670735,0.0008277166844034528,0.05747126436781609,1.773023448235103e-05,0.00129366106080207,0.0048250904704463205,0.012797074954296161,0.0014191946070604932,0.25,0.02702702702702703,0.0,0.005194805194805195,0,12,113,122,1,3,938,2,1,194,907,1144,496,3,710,606,8,188,111,2,429,5,0,174,27,149
1036,0,0.0,0.0002542588354945334,0.0013006976469197116,0.367816091954023,0.009372398949976114,0.07675722294092281,0.026537997587454763,0.07495429616087751,0.15788540003547985,0.0,0.10810810810810811,0.0,0.04155844155844156,0,12,581,185,1,0,975,2,1,194,440,452,6,2,185,1091,8,188,51,2,869,2,0,174,27,443
96,0,0.0,0.004703788456648868,0.01064207165661582,0.022988505747126436,0.04061208709485183,0.07589478223372144,0.0,0.009140767824497258,0.007805570338832712,0.0,0.0,0.0,0.006493506493506494,0,199,418,852,1,3,556,5,1,86,462,350,60,13,279,727,8,405,52,3,370,2,10,174,28,149
1003,0,0.0,0.0022883295194508005,0.0,0.0,0.008676979753057234,0.04915912031047866,0.00180940892641737,0.009140767824497258,0.01720773461060848,0.0,0.05405405405405406,0.0,0.0012987012987012987,0,215,633,872,1,6,165,2,1,194,913,760,587,13,536,216,0,89,123,1,1062,2,0,531,19,356
1497,0,0.0,0.01589117721840834,0.0004729809625162587,0.08045977011494253,0.0036366680949355555,0.02695127210004312,0.015681544028950542,0.010968921389396709,0.10076281710129502,0.0,0.16216216216216217,0.01020408163265306,0.025974025974025976,33,219,139,87,1,3,863,17,1,194,526,842,179,2,482,235,4,112,64,3,935,2,10,196,1,448
429,1,0.0,0.0029239766081871343,0.00011824524062906468,0.022988505747126436,4.0385534098688454e-05,0.0,0.0,0.003656307129798903,0.0003547986517651233,0.0,0.0,0.0,0.0025974025974025974,7,51,188,149,11,3,938,2,1,194,120,1203,496,13,563,49,5,451,123,1,1166,3,0,468,19,356
51,1,0.010526315789473684,0.004068141367912535,0.0,0.034482758620689655,0.00011426151110848442,0.0066839154808106946,0.0006031363088057901,0.005484460694698354,0.0005321979776476849,0.25,0.02702702702702703,0.0,0.003896103896103896,26,51,89,102,1,5,123,2,1,194,427,1159,666,2,167,605,7,66,123,1,268,3,1,466,19,356
939,0,0.0,0.09369438087973556,0.0,0.0,0.004324207187640056,0.030832255282449334,0.007840772014475271,0.007312614259597806,0.04559162675181834,0.0,0.08108108108108109,0.0,0.0,0,58,20,819,1,3,602,17,1,33,911,679,355,2,808,244,4,249,123,1,1094,2,3,162,19,356
933,0,0.0,0.004576659038901601,0.0,0.4367816091954023,2.068527356274287e-05,0.0,0.0,0.06946983546617916,0.0067411743835373425,0.0,0.0,0.0,0.014285714285714285,0,5,1267,685,1,5,537,2,1,507,449,155,394,0,783,149,1,473,123,1,244,2,0,653,19,356
506,0,0.0,0.0002542588354945334,0.000354735721887194,0.10344827586206896,0.04093221632856095,0.06015523932729625,0.0,0.02010968921389397,0.028561291467092426,0.0,0.0,0.0,0.011688311688311689,0,13,892,872,1,6,566,2,1,194,693,780,637,3,63,641,0,106,123,1,1002,3,8,531,19,356
170,0,0.031578947368421054,0.0001271294177472667,0.00023649048125812936,0.011494252873563218,7.781602911698507e-05,0.00021561017680034498,0.00180940892641737,0.0018281535648994515,0.00017739932588256165,0.25,0.02702702702702703,0.0,0.0012987012987012987,32,126,316,236,1,4,596,2,1,661,164,902,487,2,787,939,0,510,22,3,446,2,0,66,27,490
1902,0,0.010526315789473684,0.009026188660055936,0.0,0.0,0.00036937988504897977,0.01681759379042691,0.00723763570566948,0.08592321755027423,0.028561291467092426,0.25,0.05405405405405406,0.0,0.0,33,103,907,872,1,3,593,17,1,607,93,1084,181,13,792,77,8,242,123,1,584,2,0,531,19,356
1276,0,0.031578947368421054,0.0007627765064836002,0.01667257892869812,0.022988505747126436,0.00011820156321567352,0.00301854247520483,0.00180940892641737,0.08775137111517367,0.011708355508249068,0.25,0.02702702702702703,0.0,0.01818181818181818,0,12,23,95,1,4,729,29,1,465,197,847,717,13,273,158,0,188,132,2,1015,2,0,441,27,501
1015,1,0.0,0.0002542588354945334,0.001418942887548776,0.14942528735632182,0.0014479691493920008,0.002802932298404485,0.21049457177322073,0.010968921389396709,0.07610431080361894,0.0,0.2702702702702703,0.12244897959183673,0.016883116883116882,4,12,1231,987,1,3,136,38,1,371,134,352,723,13,367,469,6,154,32,0,716,5,1,183,27,483
1293,0,0.0,0.005212306127637935,0.00011824524062906468,0.011494252873563218,0.00620558206882286,0.0579991375592928,0.0006031363088057901,0.04204753199268738,0.037431257761220506,0.0,0.02702702702702703,0.0,0.0012987012987012987,48,42,153,413,1,5,50,5,1,312,795,871,273,13,184,259,8,484,123,1,12,2,0,436,19,356
1721,0,0.0,0.003051106025934401,0.00023649048125812936,0.09195402298850575,0.0019040301807991412,0.07891332470892626,0.0012062726176115801,0.0712979890310786,0.015433741351782862,0.0,0.02702702702702703,0.0,0.03636363636363636,0,215,633,872,9,5,60,17,1,737,269,760,420,3,323,216,8,89,123,1,1062,2,2,531,19,356
534,0,0.0,0.0017798118484617339,0.05794016790824169,0.0,0.0034603507631388425,0.020482966796032773,0.010253317249698432,0.003656307129798903,0.0007095973035302466,0.0,0.05405405405405406,0.0,0.0025974025974025974,0,37,1218,572,1,3,149,2,1,469,241,325,340,2,48,419,8,285,143,2,928,2,2,641,24,165
1141,0,0.0,0.005339435545385201,0.000354735721887194,0.05747126436781609,0.007222115512477653,0.05282449331608452,0.00542822677925211,0.014625228519195612,0.01507894270001774,0.0,0.02702702702702703,0.0,0.01038961038961039,0,51,321,816,28,3,1155,2,1,74,372,1020,364,14,190,1149,8,514,123,1,627,3,0,633,19,356
1284,0,0.0,0.0005085176709890668,0.0,0.034482758620689655,0.0,0.0,0.0,0.005484460694698354,0.0005321979776476849,0.0,0.0,0.0,0.003896103896103896,0,51,695,877,1,6,698,28,0,194,194,714,397,13,447,1071,2,372,123,1,815,2,7,611,19,356
357,0,0.0,0.0006356470887363335,0.0004729809625162587,0.04597701149425287,0.001889254985397182,0.019189305735230703,0.004221954161640531,0.021937842778793418,0.015788540003547985,0.0,0.02702702702702703,0.01020408163265306,0.005194805194805195,26,236,339,448,1,3,1061,2,1,257,702,560,497,13,462,855,8,166,64,2,1072,2,1,413,9,400
583,0,0.0,0.005085176709890668,0.0024831500532103584,0.034482758620689655,0.0018774348290756147,0.022207848210435532,0.00361881785283474,0.04021937842778794,0.006563775057654781,0.0,0.05405405405405406,0.0,0.003896103896103896,43,51,127,798,1,3,1028,2,1,785,195,525,84,13,227,603,7,507,123,1,526,3,0,44,19,356
1211,0,0.0,0.0005085176709890668,0.005202790587678846,0.034482758620689655,0.004355727604497569,0.0,0.0,0.014625228519195612,0.0,0.0,0.0,0.0,0.003896103896103896,33,144,839,677,1,3,106,5,1,273,103,764,713,13,587,743,0,164,123,1,784,3,0,479,19,356
216,0,0.042105263157894736,0.0002542588354945334,0.00023649048125812936,0.0,3.940052107189118e-06,0.0,0.00542822677925211,0.0018281535648994515,0.04328543551534504,0.25,0.10810810810810811,0.0,0.0,0,77,334,545,1,0,353,2,1,194,45,116,749,13,443,592,8,263,129,2,327,2,7,688,0,180
443,0,0.0,0.001271294177472667,0.007567695400260139,0.11494252873563218,0.009965376792108075,0.004096593359206555,0.00180940892641737,0.021937842778793418,0.002483590562355863,0.0,0.02702702702702703,0.0,0.014285714285714285,33,12,882,555,1,4,26,17,1,733,833,1052,797,9,684,912,0,208,163,0,471,2,0,66,27,405
