,label,id,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
42,0,200,2,0,97,118,5,109,1,4,75,477,60,1,0,33,2,1,18,0,0,0,13
43,0,201,4,1,97,118,5,88,8,1,132,1108,442,2,0,134,2,1,79,3,0,0,21
44,1,202,1,0,95,118,5,116,8,0,115,428,396,0,0,133,2,1,75,3,9,68,22
45,0,203,2,1,10,128,10,116,8,0,166,919,225,1,0,36,2,1,23,3,7,26,3
46,1,204,2,0,23,142,2,116,8,0,166,56,327,1,0,26,2,1,18,0,0,0,13
47,0,205,2,1,150,73,10,116,8,0,166,1017,56,1,0,43,2,1,32,2,1,0,2
48,0,206,2,1,66,13,10,116,8,0,166,1733,211,1,0,41,2,1,29,0,16,0,21
49,0,207,2,0,60,120,4,116,8,0,166,370,74,1,0,99,2,1,66,0,1,0,23
50,1,208,2,0,53,70,10,116,8,0,166,1695,255,1,0,105,2,1,66,0,1,0,23
51,0,209,2,0,97,118,5,21,1,1,166,594,109,1,0,30,2,1,18,0,0,32,13
52,1,210,2,0,97,118,5,84,1,3,166,1707,359,1,1,71,2,1,47,0,0,42,23
53,1,211,2,0,23,142,2,116,8,0,166,1424,303,1,0,26,2,1,18,0,0,32,13
54,0,212,2,0,23,142,2,116,8,0,166,195,60,1,0,26,2,1,18,0,0,32,13
55,0,213,2,1,66,13,10,116,8,0,166,1433,449,1,0,37,2,1,24,3,1,51,3
56,0,214,2,1,150,73,10,116,8,0,166,69,392,1,0,113,2,1,71,3,1,0,3
57,0,215,2,0,23,142,2,116,8,0,166,1066,60,1,0,29,2,1,18,0,0,0,13
58,0,16,2,0,97,118,5,12,1,7,166,641,295,1,0,71,2,1,47,0,0,0,23
59,0,216,2,0,1,1,8,116,8,0,166,1008,220,1,0,71,2,1,47,0,0,0,23
60,1,217,2,0,97,118,5,6,4,7,166,43,198,1,0,110,2,1,47,0,0,12,23
61,0,218,2,0,23,142,2,116,8,0,166,56,419,1,0,24,2,1,18,0,0,0,13
62,0,219,2,0,69,23,10,116,8,0,166,33,157,1,0,46,2,1,27,3,1,59,3
63,0,17,2,0,23,142,2,116,8,0,166,1393,225,1,0,30,2,1,18,0,0,0,13
64,0,220,2,0,60,120,4,116,8,0,166,1072,74,1,0,102,2,1,66,0,1,0,23
65,1,18,2,0,23,142,2,116,8,0,166,260,165,1,0,33,2,1,18,0,0,32,13
66,0,221,2,1,150,73,10,116,8,0,166,1031,445,1,0,54,2,1,35,2,1,8,5
67,0,222,2,0,97,118,5,121,10,1,166,197,287,1,0,130,2,1,77,3,12,38,10
68,1,223,2,0,7,55,10,116,8,0,166,0,63,1,0,24,2,1,18,0,0,0,13
69,0,224,2,0,23,142,2,116,8,0,166,909,467,1,0,32,2,1,18,0,0,0,13
70,0,19,2,1,148,66,10,116,8,0,166,1703,163,1,0,60,2,1,42,2,1,0,4
71,0,225,2,0,60,120,4,116,8,0,166,727,419,1,0,99,2,1,66,0,1,0,23
72,0,226,2,0,23,142,2,116,8,0,166,375,419,1,0,30,2,1,18,0,0,32,13
73,0,227,2,0,23,142,2,116,8,0,166,970,63,1,0,32,2,1,18,0,0,0,13
74,0,228,2,0,23,142,2,116,8,0,166,1634,150,1,0,27,2,1,18,0,0,0,13
75,0,229,2,0,63,67,4,116,8,0,166,76,238,1,0,52,1,2,38,2,1,0,5
76,0,230,2,0,165,0,4,116,8,0,166,1513,260,1,0,71,2,1,47,0,0,0,23
77,1,231,2,1,150,73,10,116,8,0,166,448,358,1,0,102,2,1,66,0,1,0,23
78,0,232,2,0,97,118,5,22,1,5,152,1491,300,1,1,71,2,1,47,0,0,0,23
79,0,233,2,0,97,118,5,110,6,1,166,1350,257,1,0,6,2,1,4,2,1,44,4
80,0,234,2,0,23,142,2,116,8,0,166,1004,303,1,0,28,2,1,18,0,0,31,13
81,0,20,1,0,97,118,5,86,8,0,23,1366,268,0,0,143,2,1,80,2,7,0,3
82,0,235,2,0,97,118,5,110,6,1,166,53,225,1,0,6,2,1,4,2,1,44,4
83,0,236,2,0,23,142,2,116,8,0,166,314,467,1,0,27,2,1,18,0,0,31,13
84,0,237,2,0,23,142,2,116,8,0,166,1090,213,1,0,24,2,1,18,0,0,32,13
85,0,238,2,0,23,142,2,116,8,0,166,717,227,1,0,24,2,1,18,0,0,31,13
86,1,239,2,0,97,118,5,81,1,7,166,1638,63,1,0,112,2,1,71,3,1,0,3
87,1,240,1,0,95,118,5,116,8,0,189,51,113,0,0,137,2,1,81,3,7,54,3
88,0,241,2,0,23,142,2,116,8,0,166,129,458,1,0,29,2,1,18,0,0,0,13
89,0,242,2,0,23,142,2,116,8,0,166,21,120,1,0,27,2,1,18,0,0,31,13
90,0,243,2,0,23,142,2,116,8,0,166,540,370,1,0,28,2,1,18,0,0,0,13
91,0,244,2,0,23,142,2,116,8,0,166,258,408,1,0,30,2,1,18,0,0,31,13
92,1,245,2,0,97,118,5,110,6,1,166,1724,250,1,0,6,2,1,4,2,1,44,4
93,0,246,2,0,97,118,5,95,18,1,166,303,289,1,0,130,2,1,77,3,12,38,10
94,0,247,2,1,150,73,10,116,8,0,166,454,381,1,0,43,2,1,32,2,1,0,2
95,0,248,2,0,23,142,2,116,8,0,166,18,303,1,0,26,2,1,18,0,0,32,13
96,1,249,2,0,23,142,2,116,8,0,166,94,63,1,0,26,2,1,18,0,0,32,13
97,1,250,2,0,23,142,2,116,8,0,166,625,187,1,0,33,2,1,18,0,0,0,13
98,0,2,2,0,23,142,2,116,8,0,166,13,54,1,0,31,2,1,18,0,0,0,13
99,0,251,2,0,23,142,2,116,8,0,166,766,149,1,0,26,2,1,18,0,0,0,13
100,0,252,2,1,96,44,10,116,8,0,166,465,180,1,0,80,2,1,49,0,21,26,8
101,0,253,2,0,60,120,4,116,8,0,166,751,314,1,0,102,2,1,66,0,1,0,23
102,0,254,2,0,23,142,2,116,8,0,166,1089,449,1,0,26,2,1,18,0,0,0,13
103,1,255,2,1,145,88,10,116,8,0,166,1351,222,1,0,46,2,1,27,3,1,58,3
104,0,256,2,0,23,142,2,116,8,0,166,923,313,1,0,29,2,1,18,0,0,0,13
105,0,21,2,0,97,118,5,22,1,5,30,360,368,1,2,110,2,1,47,0,0,0,23
106,0,257,2,0,23,142,2,116,8,0,166,1160,151,1,0,32,2,1,18,0,0,0,13
107,0,258,4,1,97,118,5,122,8,1,149,1222,43,2,0,134,2,1,79,3,0,18,21
108,0,259,2,0,93,49,10,116,8,0,166,1657,165,1,0,69,2,1,45,3,15,22,10
109,0,260,2,0,23,142,2,116,8,0,166,1291,213,1,0,27,2,1,18,0,0,0,13
110,0,261,2,0,97,118,5,6,4,7,166,738,335,1,1,110,2,1,47,0,0,12,23
111,1,262,2,0,169,138,2,116,8,0,166,971,76,1,0,74,2,1,50,2,13,0,9
112,0,263,2,0,60,120,4,116,8,0,166,542,104,1,0,99,2,1,66,0,1,0,23
113,0,264,2,0,97,118,5,121,10,1,166,539,287,1,0,78,2,1,53,3,15,1,10
114,1,265,2,0,23,142,2,116,8,0,166,1620,313,1,0,30,2,1,18,0,0,0,13
115,0,266,2,0,97,118,5,12,1,7,166,1467,323,1,0,71,2,1,47,0,0,0,23
116,0,267,2,0,23,142,2,116,8,0,166,1005,317,1,0,32,2,1,18,0,0,32,13
117,0,268,2,0,69,23,10,116,8,0,166,196,419,1,0,40,2,1,27,3,1,0,3
118,0,269,2,0,60,120,4,116,8,0,166,507,419,1,0,99,2,1,66,0,1,0,23
119,0,270,2,0,60,120,4,116,8,0,166,282,393,1,0,105,2,1,66,0,1,0,23
120,0,271,2,0,138,53,10,116,8,0,166,47,225,1,0,27,2,1,18,0,0,32,13
121,0,22,2,1,125,105,10,116,8,0,166,324,448,1,0,79,2,1,49,0,21,30,8
122,0,272,2,0,23,142,2,116,8,0,166,1746,258,1,0,29,2,1,18,0,0,0,13
123,0,273,2,0,23,142,2,116,8,0,166,984,43,1,0,32,2,1,18,0,0,0,13
124,1,274,1,0,95,118,5,116,8,0,217,869,396,0,0,125,2,1,75,3,9,68,22
125,0,275,2,0,141,110,10,116,8,0,166,837,459,1,0,41,2,1,29,0,16,30,21
126,0,276,2,0,97,118,5,22,1,5,173,1427,154,1,1,130,2,1,77,3,12,38,10
127,0,277,1,0,80,118,5,116,8,0,5,348,397,0,0,134,2,1,79,3,0,0,21
128,0,23,2,1,46,21,2,116,8,0,166,92,363,1,0,27,2,1,18,0,0,0,13
129,0,278,2,0,17,108,10,116,8,0,166,1382,151,1,0,110,2,1,47,0,0,0,23
130,0,279,2,0,23,142,2,116,8,0,166,1370,112,1,0,30,2,1,18,0,0,0,13
131,0,280,2,0,97,118,5,73,8,0,166,1002,473,1,0,53,2,1,39,1,2,19,12
132,1,281,2,0,23,142,2,116,8,0,166,602,225,1,0,30,2,1,18,0,0,32,13
133,0,282,2,1,150,73,10,116,8,0,166,1162,225,1,0,105,2,1,66,0,1,0,23
134,0,283,2,1,66,13,10,116,8,0,166,227,405,1,0,110,2,1,47,0,0,0,23
135,0,284,2,0,146,62,10,116,8,0,166,1287,483,1,0,71,2,1,47,0,0,0,23
136,1,24,2,0,60,120,4,116,8,0,166,1184,419,1,0,99,2,1,66,0,1,0,23
137,0,285,2,0,129,130,2,116,8,0,166,679,328,1,0,15,2,1,9,3,15,3,10
138,0,286,2,0,23,142,2,116,8,0,166,851,258,1,0,32,2,1,18,0,0,0,13
139,0,287,2,0,1,1,8,116,8,0,166,125,337,1,0,71,2,1,47,0,0,0,23
140,0,288,2,1,150,73,10,116,8,0,166,1619,0,1,0,48,2,1,25,3,1,0,3
141,0,289,2,0,23,142,2,116,8,0,166,32,258,1,0,27,2,1,18,0,0,0,13
142,0,290,1,0,95,118,5,116,8,0,133,1269,396,0,0,125,2,1,75,3,9,68,22
143,0,25,4,1,97,118,5,122,8,1,65,902,461,2,0,134,2,1,79,3,0,0,21
144,0,291,2,0,1,1,8,116,8,0,166,824,458,1,0,71,2,1,47,0,0,0,23
145,0,292,2,1,103,91,4,116,8,0,166,1609,270,1,1,110,2,1,47,0,0,0,23
146,1,293,2,0,23,142,2,116,8,0,166,1136,419,1,0,24,2,1,18,0,0,0,13
147,0,294,2,1,150,73,10,116,8,0,166,1164,250,1,0,101,0,0,66,0,1,0,23
148,0,295,2,0,0,54,10,116,8,0,166,708,295,1,0,110,2,1,47,0,0,41,23
149,0,296,2,0,23,142,2,116,8,0,166,1732,112,1,0,29,2,1,18,0,0,0,13
150,0,297,2,1,46,21,2,116,8,0,166,1232,40,1,0,33,2,1,18,0,0,32,13
151,0,298,2,0,97,118,5,55,1,1,166,1717,368,1,0,56,2,1,40,3,4,0,22
152,1,299,2,0,23,142,2,116,8,0,166,915,213,1,0,33,2,1,18,0,0,32,13
153,0,300,2,0,23,142,2,116,8,0,166,1466,154,1,0,27,2,1,18,0,0,0,13
154,0,26,2,0,23,142,2,116,8,0,166,743,260,1,0,33,2,1,18,0,0,32,13
155,0,301,2,0,23,142,2,116,8,0,166,978,11,1,0,31,2,1,18,0,0,32,13
156,0,302,2,1,64,10,10,116,8,0,166,1608,413,1,0,71,2,1,47,0,0,0,23
157,0,303,2,0,63,67,4,116,8,0,166,1538,419,1,0,73,1,2,48,2,1,0,5
158,0,304,2,1,105,72,3,116,8,0,166,850,80,1,0,71,2,1,47,0,0,0,23
159,0,305,2,1,64,10,10,116,8,0,166,1578,349,1,0,102,2,1,66,0,1,27,23
160,0,306,2,0,97,118,5,110,6,1,181,557,67,1,0,6,2,1,4,2,1,44,4
161,0,307,2,0,23,142,2,116,8,0,166,1494,187,1,0,27,2,1,18,0,0,0,13
162,0,308,2,0,97,118,5,12,1,7,166,63,119,1,0,110,2,1,47,0,0,0,23
163,1,309,2,1,150,73,10,116,8,0,166,622,419,1,0,99,2,1,66,0,1,0,23
164,0,310,2,0,38,32,4,116,8,0,166,1747,226,1,0,71,2,1,47,0,0,0,23
165,0,311,2,0,97,118,5,110,6,1,166,1013,5,1,0,6,2,1,4,2,1,44,4
166,1,312,1,0,167,148,5,116,8,0,47,1727,373,0,0,14,2,1,8,2,0,42,4
167,0,313,1,0,158,34,5,116,8,0,141,1598,134,0,0,93,1,1,62,0,7,0,2
168,0,314,2,0,23,142,2,116,8,0,166,942,263,1,0,26,2,1,18,0,0,0,13
169,0,315,2,0,23,142,2,116,8,0,166,1295,263,1,0,29,2,1,18,0,0,32,13
170,1,316,2,1,145,88,10,116,8,0,166,128,250,1,0,50,2,1,37,2,25,31,5
171,0,317,2,1,153,2,3,116,8,0,166,444,129,1,0,131,2,1,78,3,12,38,10
172,1,27,2,1,145,88,10,116,8,0,166,317,154,1,0,55,2,1,37,2,25,32,5
173,1,318,1,0,95,118,5,116,8,0,209,823,396,0,0,132,2,1,75,3,9,68,22
174,1,319,2,0,23,142,2,116,8,0,166,1495,34,1,0,26,2,1,18,0,0,31,13
175,0,320,2,0,60,120,4,116,8,0,166,1235,419,1,0,99,2,1,66,0,1,0,23
176,0,321,2,0,97,118,5,43,1,1,55,973,445,1,0,13,2,1,7,2,1,0,4
177,0,322,2,0,23,142,2,116,8,0,166,1577,13,1,0,31,2,1,18,0,0,0,13
178,0,323,2,0,23,142,2,116,8,0,166,66,161,1,0,30,2,1,18,0,0,0,13
179,0,324,4,1,97,118,5,74,8,1,161,321,61,2,0,134,2,1,79,3,0,0,21
180,0,325,2,0,23,142,2,116,8,0,166,373,150,1,0,33,2,1,18,0,0,0,13
181,0,326,2,0,23,142,2,116,8,0,166,1003,463,1,0,27,2,1,18,0,0,32,13
182,0,327,2,0,23,142,2,116,8,0,166,1311,151,1,0,14,2,1,8,2,0,42,4
183,0,328,2,1,46,21,2,116,8,0,166,1145,419,1,0,83,2,1,23,3,7,29,3
184,0,329,2,0,23,142,2,116,8,0,166,464,258,1,0,33,2,1,18,0,0,32,13
185,0,330,2,0,60,120,4,116,8,0,166,1700,419,1,0,105,2,1,66,0,1,0,23
186,0,331,2,0,60,120,4,116,8,0,166,1493,105,1,0,102,2,1,66,0,1,0,23
187,0,332,2,0,97,118,5,5,0,1,166,704,162,1,1,110,2,1,47,0,0,0,23
188,1,333,2,1,145,88,10,116,8,0,166,1745,313,1,0,50,2,1,37,2,25,0,5
189,0,334,2,0,23,142,2,116,8,0,166,482,226,1,0,30,2,1,18,0,0,32,13
190,0,335,2,0,23,142,2,116,8,0,166,1457,213,1,0,31,2,1,18,0,0,32,13
191,1,336,2,0,63,67,4,116,8,0,166,1742,122,1,0,73,1,2,48,2,1,0,5
192,0,337,2,0,17,108,10,116,8,0,166,468,286,1,0,71,2,1,47,0,0,0,23
193,0,338,2,0,0,54,10,116,8,0,166,1460,63,1,0,71,2,1,47,0,0,0,23
194,0,339,2,0,23,142,2,116,8,0,166,497,258,1,0,29,2,1,18,0,0,32,13
195,0,340,2,1,170,121,10,116,8,0,166,1203,255,1,0,71,2,1,47,0,0,0,23
196,0,341,2,0,60,120,4,116,8,0,166,610,419,1,0,99,2,1,66,0,1,0,23
197,0,342,2,0,23,142,2,116,8,0,166,194,488,1,1,31,2,1,18,0,0,32,13
198,0,343,2,1,78,38,4,116,8,0,166,1677,270,1,1,110,2,1,47,0,0,0,23
199,1,344,2,1,25,60,4,116,8,0,166,392,270,1,1,110,2,1,47,0,0,0,23
200,0,28,2,0,97,118,5,12,1,7,166,1194,93,1,0,110,2,1,47,0,0,0,23
201,1,345,2,1,145,88,10,116,8,0,166,911,121,1,1,50,2,1,37,2,25,0,5
202,0,346,1,0,159,147,5,116,8,0,180,713,134,0,0,93,1,1,62,0,7,26,2
203,0,347,2,0,23,142,2,116,8,0,166,640,258,1,0,30,2,1,18,0,0,32,13
204,0,348,2,0,23,142,2,116,8,0,166,633,226,1,0,29,2,1,18,0,0,0,13
205,0,349,2,0,60,120,4,116,8,0,166,1660,91,1,0,102,2,1,66,0,1,0,23
206,0,350,2,0,60,120,4,116,8,0,166,605,419,1,0,99,2,1,66,0,1,0,23
207,0,351,2,0,97,118,5,22,1,5,168,1230,342,1,1,130,2,1,77,3,12,38,10
208,0,352,2,0,60,120,4,116,8,0,166,1322,206,1,0,102,2,1,66,0,1,0,23
209,1,353,2,0,144,89,4,116,8,0,166,706,413,1,0,47,2,1,34,3,1,51,3
210,0,354,2,0,23,142,2,116,8,0,166,1240,240,1,0,24,2,1,18,0,0,0,13
211,0,29,2,0,23,142,2,116,8,0,166,42,230,1,1,33,2,1,18,0,0,0,13
212,0,355,4,1,97,118,5,74,8,1,171,1069,299,2,0,134,2,1,79,3,0,0,21
213,0,356,2,0,23,142,2,116,8,0,166,723,258,1,0,26,2,1,18,0,0,0,13
214,0,357,2,0,97,118,5,22,1,5,45,1102,84,1,1,71,2,1,47,0,0,44,23
215,0,358,2,0,74,67,4,116,8,0,166,438,250,1,0,52,1,2,38,2,1,31,5
216,0,359,2,1,4,51,10,116,8,0,166,842,357,1,0,110,2,1,47,0,0,41,23
217,0,360,2,0,23,142,2,116,8,0,166,1346,8,1,0,33,2,1,18,0,0,32,13
218,0,361,2,0,23,142,2,116,8,0,166,257,449,1,0,30,2,1,18,0,0,32,13
219,0,362,2,0,60,120,4,116,8,0,166,496,393,1,0,105,2,1,66,0,1,0,23
220,1,363,1,0,81,39,5,116,8,0,21,481,320,0,0,44,2,1,30,3,4,0,3
221,0,364,2,0,28,139,4,116,8,0,166,123,413,1,0,102,2,1,66,0,1,51,23
222,1,365,2,0,36,35,10,116,8,0,166,1555,357,1,0,98,1,2,65,2,1,0,3
223,0,366,2,0,23,142,2,116,8,0,166,409,63,1,0,26,2,1,18,0,0,32,13
224,0,367,2,0,23,142,2,116,8,0,166,880,154,1,0,32,2,1,18,0,0,32,13
225,0,368,4,1,97,118,5,98,8,1,201,172,468,3,0,134,2,1,79,3,0,69,21
226,0,369,2,0,23,142,2,116,8,0,166,744,264,1,1,33,2,1,18,0,0,0,13
227,1,370,2,0,23,142,2,116,8,0,166,32,161,1,0,28,2,1,18,0,0,0,13
228,0,371,2,0,23,142,2,116,8,0,166,109,303,1,0,32,2,1,18,0,0,32,13
229,1,372,2,0,97,118,5,43,1,1,196,359,357,1,0,10,2,1,6,2,1,0,4
230,0,3,2,1,96,44,10,116,8,0,166,968,423,1,0,79,2,1,49,0,21,30,8
231,0,373,2,0,60,120,4,116,8,0,166,1129,345,1,0,102,2,1,66,0,1,0,23
232,0,374,2,0,97,118,5,6,4,7,166,461,15,1,0,71,2,1,47,0,0,40,23
233,0,375,2,0,82,115,10,116,8,0,166,1508,258,1,0,102,2,1,66,0,1,0,23
234,0,376,2,0,23,142,2,116,8,0,166,1330,62,1,0,24,2,1,18,0,0,31,13
235,0,377,4,1,97,118,5,3,8,1,53,307,196,2,2,127,2,1,76,0,6,37,15
236,0,378,2,1,64,10,10,116,8,0,166,205,258,1,0,105,2,1,66,0,1,29,23
237,0,379,2,0,23,142,2,116,8,0,166,1083,258,1,0,26,2,1,18,0,0,0,13
238,0,380,2,0,60,120,4,116,8,0,166,638,63,1,0,102,2,1,66,0,1,0,23
239,0,381,2,0,70,84,10,116,8,0,166,994,258,1,0,36,2,1,23,3,7,0,3
240,0,382,2,0,97,118,5,22,1,5,27,1096,154,1,2,31,2,1,18,0,0,32,13
241,0,383,2,0,97,118,5,43,1,1,121,510,25,1,0,130,2,1,77,3,12,38,10
242,0,384,2,0,23,142,2,116,8,0,166,1273,258,1,0,32,2,1,18,0,0,32,13
243,0,385,2,0,23,142,2,116,8,0,166,798,258,1,0,26,2,1,18,0,0,0,13
244,0,386,2,0,2,17,10,116,8,0,166,969,63,1,0,110,2,1,47,0,0,0,23
245,0,387,2,0,97,118,5,100,1,4,106,900,229,1,0,106,2,1,19,3,24,20,18
246,0,388,2,0,98,124,4,116,8,0,166,1242,252,1,0,79,2,1,49,0,21,26,8
247,0,389,2,0,23,142,2,116,8,0,166,1533,449,1,0,24,2,1,18,0,0,0,13
248,0,390,2,0,97,118,5,121,10,1,166,1715,343,1,0,130,2,1,77,3,12,38,10
249,1,391,2,0,23,142,2,116,8,0,166,243,385,1,1,28,2,1,18,0,0,0,13
250,0,392,2,0,60,120,4,116,8,0,166,779,470,1,0,105,2,1,66,0,1,0,23
251,0,393,2,0,23,142,2,116,8,0,166,569,63,1,0,29,2,1,18,0,0,0,13
252,0,394,2,0,59,117,10,116,8,0,166,1321,391,1,0,102,2,1,66,0,1,40,23
253,0,395,2,1,66,13,10,116,8,0,166,99,255,1,0,79,2,1,49,0,21,0,8
254,0,396,2,1,105,72,3,116,8,0,166,613,452,1,0,110,2,1,47,0,0,0,23
255,1,397,2,0,63,67,4,116,8,0,166,1210,238,1,0,52,1,2,38,2,1,32,5
256,0,398,2,0,23,142,2,116,8,0,166,997,63,1,0,26,2,1,18,0,0,0,13
257,0,399,2,0,163,52,10,116,8,0,166,525,258,1,0,71,2,1,47,0,0,0,23
258,0,400,2,0,60,120,4,116,8,0,166,1077,293,1,0,99,2,1,66,0,1,0,23
259,0,401,2,0,97,118,5,121,10,1,166,509,326,1,0,130,2,1,77,3,12,38,10
260,1,402,2,1,172,79,0,116,8,0,166,1324,255,1,0,110,2,1,47,0,0,0,23
261,0,403,2,1,64,10,10,116,8,0,166,411,258,1,0,102,2,1,66,0,1,28,23
262,0,404,2,0,23,142,2,116,8,0,166,1597,34,1,0,30,2,1,18,0,0,0,13
263,0,405,2,0,97,118,5,51,8,1,140,1234,41,1,0,113,2,1,71,3,1,0,3
264,0,406,2,0,97,118,5,78,18,1,166,1398,469,1,0,130,2,1,77,3,12,38,10
265,0,407,2,0,163,52,10,116,8,0,166,1435,63,1,0,110,2,1,47,0,0,0,23
266,0,408,2,0,97,118,5,39,14,1,166,935,160,1,0,78,2,1,53,3,15,2,10
267,0,409,2,0,23,142,2,116,8,0,166,538,112,1,0,27,2,1,18,0,0,0,13
268,0,410,2,0,63,67,4,116,8,0,166,1285,47,1,0,52,1,2,38,2,1,0,5
269,0,411,2,0,97,118,5,12,1,7,166,952,358,1,0,42,2,1,31,2,1,0,0
270,0,412,2,0,23,142,2,116,8,0,166,1347,151,1,0,33,2,1,18,0,0,0,13
271,0,413,2,0,23,142,2,116,8,0,166,1577,63,1,0,32,2,1,18,0,0,0,13
272,1,414,2,1,150,73,10,116,8,0,166,1581,258,1,0,33,2,1,18,0,0,0,13
273,0,30,2,0,63,67,4,116,8,0,166,45,63,1,0,98,1,2,65,2,1,0,3
274,0,415,4,1,97,118,5,98,8,1,12,449,262,2,0,134,2,1,79,3,0,0,21
275,0,416,2,0,23,142,2,116,8,0,166,1722,150,1,0,28,2,1,18,0,0,0,13
276,0,417,2,0,75,127,11,116,8,0,166,364,229,1,0,45,2,1,33,3,6,55,12
277,0,418,2,0,23,142,2,116,8,0,166,698,163,1,0,28,2,1,18,0,0,0,13
278,0,419,2,1,150,73,10,116,8,0,166,46,229,1,0,6,2,1,4,2,1,44,4
279,0,420,2,0,84,137,10,116,8,0,166,127,306,1,0,110,2,1,47,0,0,0,23
280,0,421,2,1,46,21,2,116,8,0,166,1336,71,1,0,28,2,1,18,0,0,0,13
281,0,422,1,0,79,16,5,116,8,0,120,1473,304,0,0,141,2,1,81,3,7,26,3
282,0,423,2,1,64,10,10,116,8,0,166,1340,413,1,0,36,2,1,23,3,7,25,3
283,0,424,2,0,97,118,5,113,18,1,166,764,326,1,0,92,2,1,61,3,6,7,10
284,0,425,2,0,23,142,2,116,8,0,166,982,60,1,0,28,2,1,18,0,0,32,13
