,label,id,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
854,0,949,2,1,130,144,4,116,8,0,166,1444,270,1,1,71,2,1,47,0,0,0,23
193,0,338,2,0,0,54,10,116,8,0,166,1460,63,1,0,71,2,1,47,0,0,0,23
1827,0,1844,2,0,23,142,2,116,8,0,166,80,451,1,0,33,2,1,18,0,0,31,13
1242,0,1308,2,0,97,118,5,48,1,1,166,1345,322,1,0,130,2,1,77,3,12,38,10
1685,1,1709,2,1,105,72,3,116,8,0,166,630,246,1,0,110,2,1,47,0,0,0,23
917,0,1009,2,1,46,21,2,116,8,0,166,155,233,1,0,32,2,1,18,0,0,0,13
1524,0,1565,2,0,23,142,2,116,8,0,166,953,263,1,0,29,2,1,18,0,0,0,13
698,0,809,4,1,97,118,5,36,8,1,236,1445,461,2,2,134,2,1,79,3,0,0,21
1811,0,1829,2,1,10,128,10,116,8,0,166,283,413,1,0,83,2,1,23,3,7,26,3
1456,1,1506,2,0,23,142,2,116,8,0,166,56,461,1,1,31,2,1,18,0,0,0,13
232,0,374,2,0,97,118,5,6,4,7,166,461,15,1,0,71,2,1,47,0,0,40,23
1256,0,1321,2,0,97,118,5,110,6,1,166,718,458,1,0,113,2,1,71,3,1,0,3
1914,0,1925,2,1,46,21,2,116,8,0,166,1533,156,1,0,26,2,1,18,0,0,0,13
230,0,3,2,1,96,44,10,116,8,0,166,968,423,1,0,79,2,1,49,0,21,30,8
372,0,507,2,0,97,118,5,20,1,1,178,766,63,1,2,33,2,1,18,0,0,0,13
1464,0,1510,2,0,1,1,8,116,8,0,166,1181,116,1,0,110,2,1,47,0,0,0,23
429,0,556,2,0,97,118,5,77,18,1,166,1360,469,1,0,120,2,1,69,0,17,63,7
1918,0,1928,2,0,97,118,5,119,1,1,166,1158,63,1,0,97,1,2,65,2,1,12,3
1467,0,1513,1,0,95,118,5,116,8,0,163,865,396,0,0,133,2,1,75,3,9,68,22
1743,1,1766,2,0,23,142,2,116,8,0,166,1119,419,1,0,33,2,1,18,0,0,0,13
1323,0,1379,2,1,155,93,4,116,8,0,166,246,270,1,1,110,2,1,47,0,0,0,23
1321,0,1377,2,0,23,142,2,116,8,0,166,1074,414,1,0,24,2,1,18,0,0,0,13
808,0,907,2,1,105,72,3,116,8,0,166,1213,173,1,0,71,2,1,47,0,0,0,23
821,0,920,2,0,97,118,5,75,18,1,166,1741,469,1,0,53,2,1,39,1,2,19,12
79,0,233,2,0,97,118,5,110,6,1,166,1350,257,1,0,6,2,1,4,2,1,44,4
711,0,822,2,0,1,1,8,116,8,0,166,111,419,1,0,110,2,1,47,0,0,0,23
180,0,325,2,0,23,142,2,116,8,0,166,373,150,1,0,33,2,1,18,0,0,0,13
1475,0,1521,2,1,46,21,2,116,8,0,166,637,327,1,0,29,2,1,18,0,0,32,13
1206,1,1273,2,0,23,142,2,116,8,0,166,1074,488,1,1,31,2,1,18,0,0,0,13
1668,0,1693,2,0,97,118,5,121,10,1,166,1216,287,1,0,78,2,1,53,3,15,1,10
1006,0,1092,2,0,23,142,2,116,8,0,166,108,112,1,0,29,2,1,18,0,0,0,13
286,0,427,2,0,23,142,2,116,8,0,166,1648,154,1,0,27,2,1,18,0,0,0,13
1162,0,1232,2,0,23,142,2,116,8,0,166,1686,112,1,0,24,2,1,18,0,0,0,13
1686,0,1710,0,0,35,118,1,116,8,0,166,500,461,1,0,92,2,1,61,3,6,7,10
473,0,596,2,0,7,55,10,116,8,0,166,1533,277,1,1,28,2,1,18,0,0,0,13
1443,0,1493,2,0,23,142,2,116,8,0,166,1378,313,1,0,28,2,1,18,0,0,0,13
319,0,456,2,0,29,94,10,116,8,0,166,313,258,1,0,6,2,1,4,2,1,44,4
170,1,316,2,1,145,88,10,116,8,0,166,128,250,1,0,50,2,1,37,2,25,31,5
1522,0,1563,4,1,97,118,5,122,8,1,87,329,461,2,0,134,2,1,79,3,0,0,21
1744,0,1767,1,0,95,118,5,116,8,0,34,1341,396,0,0,125,2,1,75,3,9,68,22
985,0,1073,2,1,64,10,10,116,8,0,166,1000,10,1,0,103,0,0,66,0,1,28,23
977,0,1067,2,1,139,111,3,116,8,0,166,1631,346,1,0,110,2,1,47,0,0,0,23
897,0,991,2,0,23,142,2,116,8,0,166,1320,147,1,0,32,2,1,18,0,0,0,13
432,0,559,2,1,96,44,10,116,8,0,166,1543,353,1,0,80,2,1,49,0,21,25,8
825,0,923,2,0,1,1,8,116,8,0,166,1496,258,1,0,110,2,1,47,0,0,0,23
301,0,439,2,0,97,118,5,12,1,7,166,1479,393,1,0,110,2,1,47,0,0,0,23
1604,1,1634,2,0,23,142,2,116,8,0,166,406,120,1,0,30,2,1,18,0,0,0,13
1670,0,1695,2,0,60,120,4,116,8,0,166,1725,309,1,0,99,2,1,66,0,1,0,23
1068,0,1149,2,0,23,142,2,116,8,0,166,1470,215,1,0,27,2,1,18,0,0,0,13
1660,0,1686,2,0,97,118,5,6,4,7,166,1682,267,1,1,71,2,1,47,0,0,48,23
1311,1,1367,2,1,135,73,10,116,8,0,166,962,5,1,0,103,0,0,66,0,1,0,23
1372,1,1424,2,0,97,118,5,81,1,7,166,408,84,1,0,112,2,1,71,3,1,0,3
1667,0,1692,2,0,18,50,10,116,8,0,166,368,419,1,0,47,2,1,34,3,1,0,3
1521,0,1562,2,0,129,130,2,116,8,0,166,653,133,1,0,113,2,1,71,3,1,0,3
1780,1,1801,2,0,23,142,2,116,8,0,166,34,149,1,0,31,2,1,18,0,0,32,13
1886,1,1897,2,0,23,142,2,116,8,0,166,766,327,1,0,33,2,1,18,0,0,0,13
1848,0,143,2,0,23,142,2,116,8,0,166,1475,359,1,1,33,2,1,18,0,0,32,13
934,1,1025,2,0,23,142,2,116,8,0,166,32,205,1,1,33,2,1,18,0,0,0,13
1249,1,1315,2,0,23,142,2,116,8,0,166,1020,67,1,0,29,2,1,18,0,0,0,13
1910,0,1921,4,1,97,118,5,4,8,1,16,991,230,3,2,126,2,1,76,0,6,36,15
1159,0,1230,2,0,97,118,5,48,1,1,166,339,331,1,0,130,2,1,77,3,12,38,10
1621,0,1649,2,0,23,142,2,116,8,0,166,1280,303,1,0,27,2,1,18,0,0,32,13
1461,0,1508,2,0,97,118,5,113,18,1,166,541,326,1,0,92,2,1,61,3,6,0,10
848,0,943,2,0,23,142,2,116,8,0,166,266,121,1,1,28,2,1,18,0,0,32,13
24,0,182,2,0,23,142,2,116,8,0,166,1613,408,1,0,31,2,1,18,0,0,31,13
298,0,436,2,0,97,118,5,12,1,7,166,1140,429,1,0,42,2,1,31,2,1,40,0
188,1,333,2,1,145,88,10,116,8,0,166,1745,313,1,0,50,2,1,37,2,25,0,5
1437,0,1487,2,0,60,120,4,116,8,0,166,1481,74,1,0,102,2,1,66,0,1,0,23
556,0,673,2,0,23,142,2,116,8,0,166,1011,286,1,0,29,2,1,18,0,0,0,13
820,0,919,2,0,84,137,10,116,8,0,166,1142,463,1,0,110,2,1,47,0,0,0,23
932,1,1023,2,0,97,118,5,115,1,1,170,1258,308,1,1,71,2,1,47,0,0,0,23
994,0,1081,2,0,97,118,5,43,1,1,166,564,389,1,1,130,2,1,77,3,12,38,10
609,0,724,2,0,23,142,2,116,8,0,166,966,419,1,0,33,2,1,18,0,0,0,13
1107,0,1183,2,1,139,111,3,116,8,0,166,532,333,1,0,80,2,1,49,0,21,26,8
194,0,339,2,0,23,142,2,116,8,0,166,497,258,1,0,29,2,1,18,0,0,32,13
1187,0,1255,2,0,1,1,8,116,8,0,166,1532,208,1,0,71,2,1,47,0,0,0,23
0,0,15,2,0,23,142,2,116,8,0,166,1533,137,1,1,31,2,1,18,0,0,0,13
1051,0,1134,2,1,135,73,10,116,8,0,166,1161,444,1,0,100,0,0,66,0,1,0,23
713,0,824,2,0,1,1,8,116,8,0,166,312,63,1,0,110,2,1,47,0,0,0,23
1968,0,1972,2,0,112,98,10,116,8,0,166,1365,298,1,0,80,2,1,49,0,21,0,8
58,0,16,2,0,97,118,5,12,1,7,166,641,295,1,0,71,2,1,47,0,0,0,23
183,0,328,2,1,46,21,2,116,8,0,166,1145,419,1,0,83,2,1,23,3,7,29,3
1794,0,14,2,0,163,52,10,116,8,0,166,810,414,1,0,71,2,1,47,0,0,61,23
1820,0,1837,2,0,60,120,4,116,8,0,166,384,297,1,0,99,2,1,66,0,1,0,23
737,0,845,2,0,23,142,2,116,8,0,166,463,406,1,0,27,2,1,18,0,0,0,13
1225,0,1292,2,0,23,142,2,116,8,0,166,820,264,1,1,28,2,1,18,0,0,0,13
1065,0,1147,2,0,97,118,5,41,18,1,166,855,92,1,0,108,2,1,68,3,6,0,10
1156,0,1227,2,0,23,142,2,116,8,0,166,775,150,1,0,33,2,1,18,0,0,32,13
497,0,616,2,0,97,118,5,121,10,1,166,1315,326,1,0,108,2,1,68,3,6,7,10
113,0,264,2,0,97,118,5,121,10,1,166,539,287,1,0,78,2,1,53,3,15,1,10
760,0,865,2,0,23,142,2,116,8,0,166,1487,258,1,0,31,2,1,18,0,0,32,13
162,0,308,2,0,97,118,5,12,1,7,166,63,119,1,0,110,2,1,47,0,0,0,23
1923,0,1933,2,0,97,118,5,113,18,1,166,1388,326,1,0,92,2,1,61,3,6,7,10
1356,0,1410,2,0,1,1,8,116,8,0,166,1107,358,1,0,71,2,1,47,0,0,0,23
1262,0,1327,2,1,172,79,0,116,8,0,166,884,63,1,0,71,2,1,47,0,0,0,23
1673,0,1698,2,1,145,88,10,116,8,0,166,238,154,1,0,50,2,1,37,2,25,32,5
1572,0,1608,2,0,93,49,10,116,8,0,166,1657,165,1,0,69,2,1,45,3,15,22,10
999,1,1085,2,0,23,142,2,116,8,0,166,1754,54,1,0,26,2,1,18,0,0,0,13
1563,0,1600,2,0,1,1,8,116,8,0,166,1317,131,1,0,110,2,1,47,0,0,0,23
1996,0,1997,2,0,97,118,5,104,13,5,166,696,26,1,1,130,2,1,77,3,12,38,10
830,0,928,2,0,163,52,10,116,8,0,166,1697,256,1,0,110,2,1,47,0,0,0,23
1513,0,1555,2,0,60,120,4,116,8,0,166,727,419,1,0,105,2,1,66,0,1,0,23
1370,0,1423,2,0,23,142,2,116,8,0,166,1148,258,1,0,30,2,1,18,0,0,32,13
878,0,973,2,0,97,118,5,22,1,5,240,886,419,1,2,31,2,1,18,0,0,32,13
1017,0,1103,2,1,145,88,10,116,8,0,166,747,258,1,0,26,2,1,18,0,0,0,13
1654,0,1681,2,0,63,67,4,116,8,0,166,134,213,1,0,52,1,2,38,2,1,0,5
1623,0,1651,2,0,97,118,5,48,1,1,166,114,338,1,0,71,2,1,47,0,0,0,23
1634,0,1662,2,0,163,52,10,116,8,0,166,149,151,1,0,110,2,1,47,0,0,0,23
1814,0,1832,2,0,97,118,5,76,1,1,166,1314,63,1,0,14,2,1,8,2,0,0,4
331,0,466,2,0,23,142,2,116,8,0,166,1282,8,1,0,26,2,1,18,0,0,32,13
746,0,853,2,0,1,1,8,116,8,0,166,374,229,1,0,71,2,1,47,0,0,0,23
1637,0,1665,2,0,60,120,4,116,8,0,166,758,424,1,0,102,2,1,66,0,1,0,23
846,0,941,2,0,1,1,8,116,8,0,166,616,220,1,0,110,2,1,47,0,0,0,23
1207,0,1274,2,0,136,109,10,116,8,0,166,175,251,1,0,110,2,1,47,0,0,0,23
1083,1,1160,2,1,171,143,6,116,8,0,166,246,270,1,1,110,2,1,47,0,0,0,23
1354,0,1408,2,0,23,142,2,116,8,0,166,287,258,1,0,30,2,1,18,0,0,31,13
1587,0,1621,2,0,23,142,2,116,8,0,166,780,213,1,0,31,2,1,18,0,0,0,13
443,0,570,2,0,163,52,10,116,8,0,166,96,45,1,0,71,2,1,47,0,0,0,23
1900,0,1911,2,0,74,67,4,116,8,0,166,966,260,1,0,88,1,2,57,2,1,0,3
1421,0,1471,2,0,60,120,4,116,8,0,166,1384,370,1,0,99,2,1,66,0,1,0,23
492,1,48,2,0,23,142,2,116,8,0,166,997,303,1,0,26,2,1,18,0,0,0,13
265,0,407,2,0,163,52,10,116,8,0,166,1435,63,1,0,110,2,1,47,0,0,0,23
480,0,602,2,0,75,127,11,116,8,0,166,24,214,1,0,45,2,1,33,3,6,52,12
1144,0,1216,2,0,23,142,2,116,8,0,166,139,151,1,0,27,2,1,18,0,0,0,13
521,0,640,2,0,97,118,5,6,4,7,166,1647,257,1,0,71,2,1,47,0,0,16,23
1542,0,1581,2,0,23,142,2,116,8,0,166,225,112,1,0,28,2,1,18,0,0,0,13
397,0,528,1,0,31,118,5,116,8,0,102,1118,174,0,0,74,2,1,50,2,13,65,9
759,0,61,2,0,97,118,5,110,6,1,166,191,60,1,0,113,2,1,71,3,1,0,3
11,0,169,2,0,23,142,2,116,8,0,166,790,63,1,0,26,2,1,18,0,0,0,13
987,1,1075,2,0,60,120,4,116,8,0,166,610,419,1,0,102,2,1,66,0,1,0,23
869,0,964,2,0,169,138,2,116,8,0,166,876,49,1,0,74,2,1,50,2,13,0,9
413,0,42,2,0,60,120,4,116,8,0,166,1572,419,1,0,99,2,1,66,0,1,0,23
1974,0,1978,2,0,97,118,5,6,4,7,166,749,230,1,1,71,2,1,47,0,0,0,23
275,0,416,2,0,23,142,2,116,8,0,166,1722,150,1,0,28,2,1,18,0,0,0,13
1775,0,1796,2,0,97,118,5,51,8,1,140,1234,41,1,0,113,2,1,71,3,1,0,3
1286,0,1347,2,0,23,142,2,116,8,0,166,1051,370,1,0,33,2,1,18,0,0,0,13
1061,0,1143,2,1,166,57,10,116,8,0,166,180,358,1,0,37,2,1,24,3,1,0,3
1591,0,127,2,0,169,138,2,116,8,0,166,244,226,1,0,74,2,1,50,2,13,0,9
1915,0,148,2,1,153,2,3,116,8,0,166,652,103,1,0,110,2,1,47,0,0,0,23
1981,0,1983,2,0,23,142,2,116,8,0,166,898,370,1,0,27,2,1,18,0,0,31,13
106,0,257,2,0,23,142,2,116,8,0,166,1160,151,1,0,32,2,1,18,0,0,0,13
948,1,1039,2,0,23,142,2,116,8,0,166,379,475,1,0,31,2,1,18,0,0,0,13
800,1,899,2,0,23,142,2,116,8,0,166,1319,260,1,0,30,2,1,18,0,0,0,13
1002,0,1088,2,0,23,142,2,116,8,0,166,798,392,1,0,27,2,1,18,0,0,0,13
87,1,240,1,0,95,118,5,116,8,0,189,51,113,0,0,137,2,1,81,3,7,54,3
679,0,791,2,1,66,13,10,116,8,0,166,754,225,1,0,41,2,1,29,0,16,30,21
1569,0,123,2,0,23,142,2,116,8,0,166,1429,178,1,1,33,2,1,18,0,0,0,13
109,0,260,2,0,23,142,2,116,8,0,166,1291,213,1,0,27,2,1,18,0,0,0,13
970,0,1060,2,0,60,120,4,116,8,0,166,1047,419,1,0,105,2,1,66,0,1,0,23
291,0,431,2,0,97,118,5,107,2,1,166,1030,261,1,0,65,2,1,12,3,30,46,10
1533,0,120,2,0,23,142,2,116,8,0,166,194,488,1,1,28,2,1,18,0,0,32,13
253,0,395,2,1,66,13,10,116,8,0,166,99,255,1,0,79,2,1,49,0,21,0,8
341,0,476,2,0,70,84,10,116,8,0,166,957,413,1,0,83,2,1,23,3,7,0,3
1439,1,1489,2,0,23,142,2,116,8,0,166,521,260,1,0,31,2,1,18,0,0,32,13
318,0,455,2,0,23,142,2,116,8,0,166,32,60,1,0,24,2,1,18,0,0,0,13
751,0,857,2,0,97,118,5,48,1,1,166,335,118,1,0,130,2,1,77,3,12,38,10
1471,0,1517,2,0,23,142,2,116,8,0,166,1641,419,1,0,31,2,1,18,0,0,0,13
1581,0,1617,2,0,23,142,2,116,8,0,166,937,85,1,0,32,2,1,18,0,0,32,13
992,0,1079,2,0,23,142,2,116,8,0,166,84,461,1,1,31,2,1,18,0,0,0,13
1961,0,1965,2,1,64,10,10,116,8,0,166,77,255,1,0,94,2,1,63,0,21,30,8
1101,0,1177,2,0,63,67,4,116,8,0,166,290,130,1,0,73,1,2,48,2,1,71,5
1844,0,1861,2,0,97,118,5,99,15,4,18,676,12,1,1,70,2,1,46,3,11,0,10
1842,0,1859,2,0,23,142,2,116,8,0,166,1560,458,1,0,31,2,1,18,0,0,32,13
1316,0,1372,2,0,97,118,5,67,1,1,150,26,226,1,0,110,2,1,47,0,0,0,23
469,1,592,2,0,23,142,2,116,8,0,166,930,313,1,0,33,2,1,18,0,0,32,13
1787,0,140,2,0,23,142,2,116,8,0,166,407,263,1,0,24,2,1,18,0,0,0,13
493,0,612,2,0,97,118,5,121,10,1,166,480,287,1,0,130,2,1,77,3,12,38,10
708,0,819,4,1,97,118,5,122,8,1,24,1640,449,2,0,134,2,1,79,3,0,0,21
795,0,894,2,0,23,142,2,116,8,0,166,280,263,1,0,29,2,1,18,0,0,32,13
605,1,721,2,0,23,142,2,116,8,0,166,875,112,1,0,29,2,1,18,0,0,0,13
752,0,858,2,0,60,120,4,116,8,0,166,420,296,1,0,102,2,1,66,0,1,0,23
1391,0,1442,2,0,23,142,2,116,8,0,166,74,226,1,0,33,2,1,18,0,0,31,13
1791,0,1810,2,0,23,142,2,116,8,0,166,199,63,1,0,30,2,1,18,0,0,31,13
654,0,766,2,1,156,116,10,116,8,0,166,1559,252,1,0,94,2,1,63,0,21,30,8
412,0,540,4,1,97,118,5,114,8,1,0,1401,120,2,1,134,2,1,79,3,0,69,21
504,0,623,2,1,150,73,10,116,8,0,166,1255,212,1,0,43,2,1,32,2,1,0,2
278,0,419,2,1,150,73,10,116,8,0,166,46,229,1,0,6,2,1,4,2,1,44,4
914,0,1006,2,0,1,1,8,116,8,0,166,148,328,1,0,110,2,1,47,0,0,0,23
186,0,331,2,0,60,120,4,116,8,0,166,1493,105,1,0,102,2,1,66,0,1,0,23
1687,0,1711,2,0,23,142,2,116,8,0,166,1390,225,1,0,30,2,1,18,0,0,0,13
942,0,1033,2,0,23,142,2,116,8,0,166,466,370,1,0,24,2,1,18,0,0,0,13
1299,0,1357,2,1,6,40,10,116,8,0,166,376,419,1,0,60,2,1,42,2,1,0,4
17,0,175,2,0,23,142,2,116,8,0,166,1352,359,1,1,33,2,1,18,0,0,32,13
323,0,460,2,0,23,142,2,116,8,0,166,983,303,1,0,27,2,1,18,0,0,0,13
1912,0,1923,2,1,64,10,10,116,8,0,166,788,258,1,0,99,2,1,66,0,1,29,23
